date,time,ticker,name,fill,qty,k,prev_range,offset,krx_open,prev_close,t_open,t_prevc,bp_vs_open,bp_vs_prevc,implied_open_cap,cap_minus_krxopen_bp,cap_minus_prevc_bp,viol_open,viol_prevc,gap_bp,stub
2026-08-19,10:37:57,222800,심텍,115300.0,1,0.6293,9300,7607,103900,110900,111507,118507,340.2,-270.6,107693.0,365.1,-289.2,0,1,-631.2,0
2026-08-19,10:38:32,007660,이수페타시스,108900.0,1,0.531,12100,8351,99900,102900,108251,111251,60.0,-211.3,100549.0,65.0,-228.5,0,1,-291.5,0
2026-08-20,09:00:06,068270,셀트리온,201500.0,1,0.5093,5700,3772,199100,194100,202872,197872,-67.6,183.4,197728.0,-68.9,186.9,1,0,257.6,0
2026-08-20,09:22:24,016360,삼성증권,89700.0,1,0.5351,3800,2642,86700,85000,89342,87642,40.1,234.8,87058.0,41.3,242.1,0,0,200.0,0
2026-08-20,15:40:00,028260,삼성물산,375000.0,1,0.5713,15000,11139,357000,347000,368139,358139,186.4,470.8,363861.0,192.2,485.9,0,0,288.2,0
2026-08-21,09:00:31,034020,두산에너빌리티,77100.0,1,0.5787,1600,1202,77900,75900,79102,77102,-253.1,-0.3,75898.0,-257.0,-0.3,1,1,263.5,0
2026-08-21,09:49:18,086790,하나금융지주,126900.0,1,0.5663,5300,3901,124500,123400,128401,127301,-116.9,-31.5,122999.0,-120.6,-32.5,1,1,89.1,0
2026-08-21,10:31:32,017670,SK텔레콤,100500.0,1,0.5862,4500,3428,94900,96600,98328,100028,220.9,47.2,97072.0,228.9,48.9,0,0,-176.0,0
2026-08-24,09:00:21,035420,NAVER,232000.0,1,0.6953,11000,9942,231000,222000,240942,231942,-371.1,2.5,222058.0,-387.1,2.6,1,0,405.4,0
2026-08-24,09:07:22,096770,SK이노베이션,129600.0,1,0.5314,6300,4351,124800,124800,129151,129151,34.8,34.8,125249.0,36.0,36.0,0,0,0.0,0
2026-08-24,15:40:00,373220,LG에너지솔루션,361500.0,1,0.5339,14500,10064,347000,343500,357064,353564,124.2,224.5,351436.0,127.8,231.0,0,0,101.9,0
2026-08-25,09:23:02,055550,신한지주,105700.0,1,0.5901,2400,1840,104100,103300,105940,105140,-22.7,53.3,103860.0,-23.1,54.2,1,0,77.4,0
2026-08-25,09:27:00,086790,하나금융지주,130600.0,1,0.5181,3000,2020,128600,128700,130620,130720,-1.5,-9.2,128580.0,-1.6,-9.3,1,1,-7.8,0
2026-08-25,15:40:00,034020,두산에너빌리티,80700.0,1,0.5418,1700,1197,74700,73000,75897,74197,632.8,876.5,79503.0,643.0,890.8,0,0,232.9,0
